COUNTRY,YEAR,VALUE
NOR,1980,1322
NOR,1981,4586
NOR,1982,10974
NOR,1983,6181
NOR,1984,1775
NOR,1985,1312
NOR,1986,1219
NOR,1987,563
NOR,1988,133
NOR,1989,13
NOR,1990,95
NOR,1991,17
NOR,1992,73
NOR,1993,7
NOR,1994,6
NOR,1995,18
NOR,1996,23
NOR,1997,11
NOR,2000,0
NOR,2001,4
NOR,2002,5
NOR,2003,8
NOR,2004,7
NOR,2005,0
NOR,2006,0
NOR,2008,4
NOR,2009,2
NOR,2010,3
NOR,2011,39
NOR,2012,4
NOR,2013,8
NOR,2014,3
NOR,2015,14
NOR,2016,0
NOR,2017,1
NOR,2018,12
NOR,2019,18
NOR,2020,4
,1974,89005
,1975,29039
,1976,78476
,1977,81859
,1978,44008
,1979,80313
,1980,33517
,1981,47614
,1982,38269
,1983,48839
,1984,24857
,1985,15813
,1986,25755
,1987,7586
,1988,929
,1989,1535
,1990,321
,1991,222
,1992,272
,1993,155
,1994,71
,1995,69
