Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Egypt,Measles,"per 1,000,000 total population",0,0,0.5,0.2,2.4,58.8,14.5,4.6,2.8,0.3,0.2,7.5,8.4,21.5,12.4,1,1.1,2.3,9.1,30.6,38.3,22.9,73.5,71,69.2,29.4,23.6,48,75.1,21.4,15.8,74,68.8,34.7,23.2,112.8,102.1,17.4,161.7,40,19.4
El Salvador,Measles,"per 1,000,000 total population",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.2,0,0,6.9,94,0,0,0,153.3,79.9,55.6,286.2,980.3,500.9,773.4,"2,690.3",504.2
Equatorial Guinea,Measles,"per 1,000,000 total population",37.8,0,0,0.8,"1,398.1","1,069.7",11.6,298.2,"1,154",0,0,86.5,506.5,6.1,0,,53,26.2,36.5,"2,119.8",,,,0,1.9,88.6,563.6,339.4,664,73.9,76.3,"1,431.3","37,661.9","30,980.6","2,135.4","1,317.7",597.2,,,,
Eritrea,Measles,"per 1,000,000 total population",3.4,1.7,20.3,351.3,42.1,59.2,38.4,13.7,59.7,14.9,16.1,26.3,0,18.4,43.9,6.7,8.8,144.6,185.4,85.9,344.2,143,143.2,354,811.8,83.9,243.9,119.3,,,,,,,,,,,,,
Estonia,Measles,"per 1,000,000 total population",0,20.4,7.6,0.8,1.5,3,0,1.5,3,5.3,0,0,0,0.7,20,1.5,0,0,0,0,6.4,8.5,12.1,12.8,13.4,11.9,157.8,209.7,46.7,83.3,21.1,,,,,,,,,,
Eswatini,Measles,"per 1,000,000 total population",0.9,0,0,0,0.9,0,0,0,0,0,293.9,24.6,1,0,0,0,0,342.2,36.3,48.3,9.9,0,183.7,632.1,"2,327.8",184.5,672.1,"8,052.2","2,355.3","1,735.5","1,781.3","1,829.7","2,043.2","5,691.7","3,113.6","4,653.3","7,099.7","5,009.9","14,583.7","4,260.5",
Ethiopia,Measles,"per 1,000,000 total population",17,35.7,16,18.1,44.2,176,129.9,55.1,46.9,36.1,48.3,13.8,42.3,17.9,18.5,4.7,1,3.2,47.5,34.7,25.1,82.8,25.6,18.3,26.9,9.9,20.5,21.6,93.6,10,38.3,90.1,169.2,111.5,89.6,"1,636.9",250,153.8,284.6,271.9,304.2
Fiji,Measles,"per 1,000,000 total population",,31.5,0,,5.7,,,,0,,0,1.2,0,0,164.3,,45.2,373.7,372.9,20.9,,,,"1,044.5",49.7,533.9,50.9,562.9,"1,301.6",,43.9,73.1,843.8,"1,489.4",535.7,213.6,"1,180.6",456.6,"1,349.7","1,540.7","1,437.1"
Finland,Measles,"per 1,000,000 total population",0.7,2.2,2.7,2,0.7,0.4,,0.4,,5,0.9,0.4,0.9,0,0,0.2,0,0,0,0.2,,,0.2,0,0,1.2,0.2,0,1,1.6,0.6,207.3,26,128.4,150.3,125,149.1,977.1,"1,117.2",792.8,448.4
France,Measles,"per 1,000,000 total population",3.7,40.5,44.9,8,1.2,2.4,4.2,4.3,,236.5,80.3,24.6,9.7,0.6,0.7,0.6,73.3,,86.7,,169.4,,,"1,374.1","1,137.7",938.4,764.1,"1,346.2","1,916.9","2,755.9",,,,,16.8,7.2,17.8,15.9,14.9,20.9,23.1
French Polynesia,Measles,"per 1,000,000 total population",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Measles,"per 1,000,000 total population",4,0.9,0.5,520.6,751.5,13.9,17.5,67.1,1.1,1.2,0.6,0,2,0,62.9,0,46.5,,85.4,"4,077.1",12.2,,,,62.9,,,930.3,"1,241.8",,777.3,"1,927",729,"2,373.4","8,030.1","6,313.6","8,985.1","5,514.9","2,286.9","3,096.6","2,259.3"
Gambia,Measles,"per 1,000,000 total population",,0.4,1.8,0.5,20.9,34,0.5,0,0,0,1.1,0,0,0,0,0,0,82.1,22.8,72.8,255,670.3,,"1,249.5",12.9,115.2,255.9,859.7,354.3,165.2,,,,,"5,052.2","2,154",,"1,959.4","2,309.3",398.4,445.7
Georgia,Measles,"per 1,000,000 total population",5,980.3,549.3,23.4,3.5,107.1,790,"1,944.3",7.6,15.7,5.4,5.6,13.5,10.6,79.7,322.1,"1,620.3",51,46.7,8.1,11.5,32.3,47.6,72.6,62.7,36.4,141.8,78.5,21.7,65.5,,,,,,,,,,,
Germany,Measles,"per 1,000,000 total population",0.9,6.2,6.5,11.2,4,30.1,5.4,21.8,2.1,19.9,9.7,7.1,11.3,7,28.3,9.5,1.5,9.5,57.1,74,,,,,,,,,,,,0.6,0.2,2.4,2.6,7.3,151.4,126,26,67.7,367.2
